GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Total Population,Total Population of Men,Total Population of Women
St. John's,9,  0 to 14 years,31570,16200,15370
St. John's,12,    10 to 14 years,11655,5975,5680
St. John's,13,  15 to 64 years,142400,69995,72405
St. John's,14,    15 to 19 years,11235,5780,5455
St. John's,15,    20 to 24 years,13645,7080,6565
St. John's,16,    25 to 29 years,13605,6765,6840
St. John's,17,    30 to 34 years,14630,7250,7380
St. John's,18,    35 to 39 years,15020,7400,7625
St. John's,19,    40 to 44 years,14735,7065,7675
St. John's,20,    45 to 49 years,14490,7100,7390
St. John's,21,    50 to 54 years,14850,7140,7710
St. John's,22,    55 to 59 years,15570,7400,8170
St. John's,23,    60 to 64 years,14610,7015,7595
St. John's,24,  65 years and over,38615,17280,21330
St. John's,25,    65 to 69 years,12870,6115,6760
St. John's,26,    70 to 74 years,10645,4875,5770
St. John's,27,    75 to 79 years,7185,3255,3935
St. John's,28,    80 to 84 years,4325,1835,2490
St. John's,29,    85 years and over,3585,1210,2380
St. John's,30,      85 to 89 years,2280,875,1405
St. John's,31,      90 to 94 years,985,265,720
St. John's,32,      95 to 99 years,285,60,225
St. John's,35,  0 to 14 years,14.9,15.7,14.1
St. John's,36,  15 to 64 years,67,67.6,66.4
St. John's,37,  65 years and over,18.2,16.7,19.6
St. John's,38,    85 years and over,1.7,1.2,2.2
St. John's,159,"    $10,000 to $19,999",19270,8075,11195
St. John's,160,"    $20,000 to $29,999",26135,11345,14790
St. John's,161,"    $30,000 to $39,999",21860,9555,12305
St. John's,162,"    $40,000 to $49,999",19920,8660,11260
St. John's,163,"    $50,000 to $59,999",15670,7110,8565
St. John's,164,"    $60,000 to $69,999",12150,6035,6115
St. John's,165,"    $70,000 to $79,999",9510,5060,4450
St. John's,166,"    $80,000 to $89,999",7710,4120,3595
St. John's,167,"    $90,000 to $99,999",6455,3220,3240
St. John's,168,"    $100,000 and over",19980,13460,6515
St. John's,169,"      $100,000 to $149,999",12980,8250,4725
St. John's,170,"      $150,000 and over",7000,5210,1790
St. John's,175,"    $10,000 to $19,999",20180,8550,11625
St. John's,176,"    $20,000 to $29,999",31445,13805,17635
St. John's,177,"    $30,000 to $39,999",26665,11745,14920
St. John's,178,"    $40,000 to $49,999",22950,10385,12565
St. John's,179,"    $50,000 to $59,999",16765,8400,8365
St. John's,180,"    $60,000 to $69,999",12060,6340,5725
St. John's,181,"    $70,000 to $79,999",9235,4700,4540
St. John's,182,"    $80,000 to $89,999",5575,3255,2315
St. John's,183,"    $90,000 to $99,999",3560,2335,1225
St. John's,184,"    $100,000 and over",9520,6960,2565
St. John's,185,"      $100,000 to $124,999",4645,3345,1300
St. John's,186,"      $125,000 and over",4880,3615,1260
St. John's,191,"    $5,000 to $9,999",9590,4360,5230
St. John's,192,"    $10,000 to $19,999",13745,6390,7355
St. John's,193,"    $20,000 to $29,999",10950,5075,5875
St. John's,194,"    $30,000 to $39,999",10260,4650,5615
St. John's,195,"    $40,000 to $49,999",10890,4850,6040
St. John's,196,"    $50,000 to $59,999",9545,4395,5150
St. John's,197,"    $60,000 to $69,999",8120,4235,3885
St. John's,198,"    $70,000 to $79,999",6950,3725,3225
St. John's,199,"    $80,000 to $89,999",6145,3250,2895
St. John's,200,"    $90,000 to $99,999",5395,2620,2780
St. John's,201,"    $100,000 and over",16215,11235,4980
St. John's,202,"      $100,000 to $124,999",7040,4375,2670
St. John's,203,"      $125,000 and over",9170,6860,2305
St. John's,262,"  $5,000 to $9,999",750,,
St. John's,263,"  $10,000 to $14,999",1410,,
St. John's,264,"  $15,000 to $19,999",1625,,
St. John's,265,"  $20,000 to $24,999",3680,,
St. John's,266,"  $25,000 to $29,999",3165,,
St. John's,267,"  $30,000 to $34,999",3140,,
St. John's,268,"  $35,000 to $39,999",3500,,
St. John's,269,"  $40,000 to $44,999",3445,,
St. John's,270,"  $45,000 to $49,999",3330,,
St. John's,271,"  $50,000 to $59,999",6245,,
St. John's,272,"  $60,000 to $69,999",5910,,
St. John's,273,"  $70,000 to $79,999",5635,,
St. John's,274,"  $80,000 to $89,999",5355,,
St. John's,275,"  $90,000 to $99,999",4835,,
St. John's,276,"  $100,000 and over",37355,,
