Date,City,Province,RTLBCI
2020-08-10,St. John's, Newfoundland ,100
2020-08-10,Halifax, Nova Scotia ,100
2020-08-10,Moncton, New Brunswick ,100
2020-08-10,Quebec, Quebec ,100
2020-08-10,Trois-Rivieres, Quebec ,100
2020-08-10,Sherbrooke, Quebec ,100
2020-08-10,Montreal, Quebec ,100
2020-08-10,Ottawa, Ontario ,100
2020-08-10,Hamilton, Ontario ,100
2020-08-10,Kitchener, Ontario ,100
2020-08-10,St. Catharines - Niagara Falls, Ontario ,100
2020-08-10,Barrie, Ontario ,100
2020-08-10,London, Ontario ,100
2020-08-10,Milton, Ontario ,100
2020-08-10,Toronto, Ontario ,100
2020-08-10,Kingston, Ontario ,100
2020-08-10,Kanata, Ontario ,100
2020-08-10,Guelph, Ontario ,100
2020-08-10,Oshawa, Ontario ,100
2020-08-10,Windsor, Ontario ,100
2020-08-10,Winnipeg, Manitoba ,100
2020-08-10,Saskatoon, Saskatchewan ,100
2020-08-10,Regina, Saskatchewan ,100
2020-08-10,Calgary, Alberta ,100
2020-08-10,Edmonton, Alberta ,100
2020-08-10,Abbotsford, British Columbia ,100
2020-08-10,Kelowna, British Columbia ,100
2020-08-10,White Rock, British Columbia ,100
2020-08-10,Vancouver, British Columbia ,100
2020-08-10,Victoria, British Columbia ,100
2020-08-17,St. John's, Newfoundland ,111.81
2020-08-17,Halifax, Nova Scotia ,103.25
2020-08-17,Moncton, New Brunswick ,108.05
2020-08-17,Quebec, Quebec ,107.75
2020-08-17,Trois-Rivieres, Quebec ,106.45
2020-08-17,Sherbrooke, Quebec ,97.3
2020-08-17,Montreal, Quebec ,89.2
2020-08-17,Ottawa, Ontario ,97.79
2020-08-17,Hamilton, Ontario ,102.52
2020-08-17,Kitchener, Ontario ,102.39
2020-08-17,St. Catharines - Niagara Falls, Ontario ,101.99
2020-08-17,Barrie, Ontario ,105.47
2020-08-17,London, Ontario ,104.71
2020-08-17,Milton, Ontario ,105.21
2020-08-17,Toronto, Ontario ,104.41
2020-08-17,Kingston, Ontario ,100.39
2020-08-17,Kanata, Ontario ,95.98
2020-08-17,Guelph, Ontario ,99.84
2020-08-17,Oshawa, Ontario ,94.44
2020-08-17,Windsor, Ontario ,110.03
2020-08-17,Winnipeg, Manitoba ,96.72
2020-08-17,Saskatoon, Saskatchewan ,83.17
2020-08-17,Regina, Saskatchewan ,113.86
2020-08-17,Calgary, Alberta ,102.18
2020-08-17,Edmonton, Alberta ,101.17
2020-08-17,Abbotsford, British Columbia ,102.24
2020-08-17,Kelowna, British Columbia ,106.54
2020-08-17,White Rock, British Columbia ,103.06
2020-08-17,Vancouver, British Columbia ,103.2
2020-08-17,Victoria, British Columbia ,95.7
2020-08-24,St. John's, Newfoundland ,122.82
2020-08-24,Halifax, Nova Scotia ,103.77
2020-08-24,Moncton, New Brunswick ,120.78
2020-08-24,Quebec, Quebec ,124.25
2020-08-24,Trois-Rivieres, Quebec ,114.34
2020-08-24,Sherbrooke, Quebec ,105.15
2020-08-24,Montreal, Quebec ,87.22
2020-08-24,Ottawa, Ontario ,102.3
2020-08-24,Hamilton, Ontario ,98.4
2020-08-24,Kitchener, Ontario ,102.29
2020-08-24,St. Catharines - Niagara Falls, Ontario ,107.97
2020-08-24,Barrie, Ontario ,91.52
2020-08-24,London, Ontario ,105.12
2020-08-24,Milton, Ontario ,111.46
2020-08-24,Toronto, Ontario ,106.39
2020-08-24,Kingston, Ontario ,102.75
2020-08-24,Kanata, Ontario ,104.8
2020-08-24,Guelph, Ontario ,110.16
2020-08-24,Oshawa, Ontario ,100.71
2020-08-24,Windsor, Ontario ,103.8
2020-08-24,Winnipeg, Manitoba ,107.63
2020-08-24,Saskatoon, Saskatchewan ,87.45
2020-08-24,Regina, Saskatchewan ,125.68
2020-08-24,Calgary, Alberta ,114.89
2020-08-24,Edmonton, Alberta ,102.53
2020-08-24,Abbotsford, British Columbia ,116.43
2020-08-24,Kelowna, British Columbia ,111.33
2020-08-24,White Rock, British Columbia ,102.93
2020-08-24,Vancouver, British Columbia ,101.99
2020-08-24,Victoria, British Columbia ,106.75
2020-08-31,St. John's, Newfoundland ,115.91
2020-08-31,Halifax, Nova Scotia ,92.11
2020-08-31,Moncton, New Brunswick ,113.63
2020-08-31,Quebec, Quebec ,103.23
2020-08-31,Trois-Rivieres, Quebec ,99.36
2020-08-31,Sherbrooke, Quebec ,113.17
2020-08-31,Montreal, Quebec ,98.07
2020-08-31,Ottawa, Ontario ,99.3
2020-08-31,Hamilton, Ontario ,102.99
2020-08-31,Kitchener, Ontario ,96.18
2020-08-31,St. Catharines - Niagara Falls, Ontario ,102.55
2020-08-31,Barrie, Ontario ,85.22
2020-08-31,London, Ontario ,97.75
2020-08-31,Milton, Ontario ,110.77
2020-08-31,Toronto, Ontario ,109.65
2020-08-31,Kingston, Ontario ,87.64
2020-08-31,Kanata, Ontario ,98.61
2020-08-31,Guelph, Ontario ,95.79
2020-08-31,Oshawa, Ontario ,101.17
2020-08-31,Windsor, Ontario ,100.01
2020-08-31,Winnipeg, Manitoba ,102.63
2020-08-31,Saskatoon, Saskatchewan ,88.93
2020-08-31,Regina, Saskatchewan ,116.35
2020-08-31,Calgary, Alberta ,109.88
2020-08-31,Edmonton, Alberta ,99.17
2020-08-31,Abbotsford, British Columbia ,103.3
2020-08-31,Kelowna, British Columbia ,105.51
2020-08-31,White Rock, British Columbia ,98.76
2020-08-31,Vancouver, British Columbia ,101.32
2020-08-31,Victoria, British Columbia ,95.76
2020-09-07,St. John's, Newfoundland ,118.19
2020-09-07,Halifax, Nova Scotia ,111.06
2020-09-07,Moncton, New Brunswick ,130.73
2020-09-07,Quebec, Quebec ,127.96
2020-09-07,Trois-Rivieres, Quebec ,117.63
2020-09-07,Sherbrooke, Quebec ,127.81
2020-09-07,Montreal, Quebec ,102.95
2020-09-07,Ottawa, Ontario ,107.32
2020-09-07,Hamilton, Ontario ,104.16
2020-09-07,Kitchener, Ontario ,102.04
2020-09-07,St. Catharines - Niagara Falls, Ontario ,103.14
2020-09-07,Barrie, Ontario ,86.94
2020-09-07,London, Ontario ,91.95
2020-09-07,Milton, Ontario ,121.46
2020-09-07,Toronto, Ontario ,112.93
2020-09-07,Kingston, Ontario ,112.05
2020-09-07,Kanata, Ontario ,112.09
2020-09-07,Guelph, Ontario ,94.75
2020-09-07,Oshawa, Ontario ,106.13
2020-09-07,Windsor, Ontario ,95.91
2020-09-07,Winnipeg, Manitoba ,109.43
2020-09-07,Saskatoon, Saskatchewan ,95.06
2020-09-07,Regina, Saskatchewan ,137.23
2020-09-07,Calgary, Alberta ,119.03
2020-09-07,Edmonton, Alberta ,105.71
2020-09-07,Abbotsford, British Columbia ,114.34
2020-09-07,Kelowna, British Columbia ,127.46
2020-09-07,White Rock, British Columbia ,101.63
2020-09-07,Vancouver, British Columbia ,109.63
2020-09-07,Victoria, British Columbia ,104.56
2020-09-14,St. John's, Newfoundland ,149.29
2020-09-14,Halifax, Nova Scotia ,107.5
2020-09-14,Moncton, New Brunswick ,134.45
2020-09-14,Quebec, Quebec ,114.26
2020-09-14,Trois-Rivieres, Quebec ,113.74
2020-09-14,Sherbrooke, Quebec ,129.3
2020-09-14,Montreal, Quebec ,97.83
2020-09-14,Ottawa, Ontario ,103.15
2020-09-14,Hamilton, Ontario ,105.01
2020-09-14,Kitchener, Ontario ,96.03
2020-09-14,St. Catharines - Niagara Falls, Ontario ,104.61
2020-09-14,Barrie, Ontario ,83.28
2020-09-14,London, Ontario ,98.32
2020-09-14,Milton, Ontario ,113.39
2020-09-14,Toronto, Ontario ,109.35
2020-09-14,Kingston, Ontario ,104.55
2020-09-14,Kanata, Ontario ,106.19
2020-09-14,Guelph, Ontario ,103.41
2020-09-14,Oshawa, Ontario ,99.37
2020-09-14,Windsor, Ontario ,102.88
2020-09-14,Winnipeg, Manitoba ,113.01
2020-09-14,Saskatoon, Saskatchewan ,84.07
2020-09-14,Regina, Saskatchewan ,124.97
2020-09-14,Calgary, Alberta ,120.31
2020-09-14,Edmonton, Alberta ,101.66
2020-09-14,Abbotsford, British Columbia ,112.39
2020-09-14,Kelowna, British Columbia ,116.38
2020-09-14,White Rock, British Columbia ,109.31
2020-09-14,Vancouver, British Columbia ,108.88
2020-09-14,Victoria, British Columbia ,106.64
2020-09-21,St. John's, Newfoundland ,139.92
2020-09-21,Halifax, Nova Scotia ,101.47
2020-09-21,Moncton, New Brunswick ,133.52
2020-09-21,Quebec, Quebec ,80.63
2020-09-21,Trois-Rivieres, Quebec ,101.25
2020-09-21,Sherbrooke, Quebec ,108.07
2020-09-21,Montreal, Quebec ,101.43
2020-09-21,Ottawa, Ontario ,95.44
2020-09-21,Hamilton, Ontario ,99
2020-09-21,Kitchener, Ontario ,96.4
2020-09-21,St. Catharines - Niagara Falls, Ontario ,103.3
2020-09-21,Barrie, Ontario ,72.82
2020-09-21,London, Ontario ,90.79
2020-09-21,Milton, Ontario ,111.34
2020-09-21,Toronto, Ontario ,105.25
2020-09-21,Kingston, Ontario ,96.02
2020-09-21,Kanata, Ontario ,100.9
2020-09-21,Guelph, Ontario ,97.18
2020-09-21,Oshawa, Ontario ,100.04
2020-09-21,Windsor, Ontario ,105.14
2020-09-21,Winnipeg, Manitoba ,107.05
2020-09-21,Saskatoon, Saskatchewan ,78.92
2020-09-21,Regina, Saskatchewan ,122.13
2020-09-21,Calgary, Alberta ,105.16
2020-09-21,Edmonton, Alberta ,103.27
2020-09-21,Abbotsford, British Columbia ,115
2020-09-21,Kelowna, British Columbia ,99.12
2020-09-21,White Rock, British Columbia ,109.99
2020-09-21,Vancouver, British Columbia ,101.24
2020-09-21,Victoria, British Columbia ,103.62
2020-09-28,St. John's, Newfoundland ,194.67
2020-09-28,Halifax, Nova Scotia ,110.83
2020-09-28,Moncton, New Brunswick ,175.36
2020-09-28,Quebec, Quebec ,97.85
2020-09-28,Trois-Rivieres, Quebec ,120.78
2020-09-28,Sherbrooke, Quebec ,123.58
2020-09-28,Montreal, Quebec ,126.71
2020-09-28,Ottawa, Ontario ,107.67
2020-09-28,Hamilton, Ontario ,110.66
2020-09-28,Kitchener, Ontario ,95.9
2020-09-28,St. Catharines - Niagara Falls, Ontario ,121.17
2020-09-28,Barrie, Ontario ,89.23
2020-09-28,London, Ontario ,105.32
2020-09-28,Milton, Ontario ,129.2
2020-09-28,Toronto, Ontario ,117.49
2020-09-28,Kingston, Ontario ,123.47
2020-09-28,Kanata, Ontario ,122.9
2020-09-28,Guelph, Ontario ,111.45
2020-09-28,Oshawa, Ontario ,121.1
2020-09-28,Windsor, Ontario ,119.49
2020-09-28,Winnipeg, Manitoba ,124.78
2020-09-28,Saskatoon, Saskatchewan ,102.29
2020-09-28,Regina, Saskatchewan ,156.75
2020-09-28,Calgary, Alberta ,126.93
2020-09-28,Edmonton, Alberta ,122.79
2020-09-28,Abbotsford, British Columbia ,142.61
2020-09-28,Kelowna, British Columbia ,123.02
2020-09-28,White Rock, British Columbia ,128.32
2020-09-28,Vancouver, British Columbia ,113.15
2020-09-28,Victoria, British Columbia ,124.79
2020-10-05,St. John's, Newfoundland ,223.12
2020-10-05,Halifax, Nova Scotia ,126.49
2020-10-05,Moncton, New Brunswick ,191.65
2020-10-05,Quebec, Quebec ,95.72
2020-10-05,Trois-Rivieres, Quebec ,128.54
2020-10-05,Sherbrooke, Quebec ,139.34
2020-10-05,Montreal, Quebec ,122.02
2020-10-05,Ottawa, Ontario ,118.14
2020-10-05,Hamilton, Ontario ,123.25
2020-10-05,Kitchener, Ontario ,113.46
2020-10-05,St. Catharines - Niagara Falls, Ontario ,132.7
2020-10-05,Barrie, Ontario ,95.46
2020-10-05,London, Ontario ,122.42
2020-10-05,Milton, Ontario ,142.45
2020-10-05,Toronto, Ontario ,122.41
2020-10-05,Kingston, Ontario ,140.76
2020-10-05,Kanata, Ontario ,134.78
2020-10-05,Guelph, Ontario ,129.32
2020-10-05,Oshawa, Ontario ,129.97
2020-10-05,Windsor, Ontario ,134.46
2020-10-05,Winnipeg, Manitoba ,137.18
2020-10-05,Saskatoon, Saskatchewan ,108.28
2020-10-05,Regina, Saskatchewan ,162.23
2020-10-05,Calgary, Alberta ,140.53
2020-10-05,Edmonton, Alberta ,135.64
2020-10-05,Abbotsford, British Columbia ,155.05
2020-10-05,Kelowna, British Columbia ,136.45
2020-10-05,White Rock, British Columbia ,152.81
2020-10-05,Vancouver, British Columbia ,129.63
2020-10-05,Victoria, British Columbia ,132.11
2020-10-12,St. John's, Newfoundland ,219.94
2020-10-12,Halifax, Nova Scotia ,123.53
2020-10-12,Moncton, New Brunswick ,163.74
2020-10-12,Quebec, Quebec ,97.68
2020-10-12,Trois-Rivieres, Quebec ,132.7
2020-10-12,Sherbrooke, Quebec ,147.21
2020-10-12,Montreal, Quebec ,119.81
2020-10-12,Ottawa, Ontario ,113.39
2020-10-12,Hamilton, Ontario ,124.75
2020-10-12,Kitchener, Ontario ,122.71
2020-10-12,St. Catharines - Niagara Falls, Ontario ,131.48
2020-10-12,Barrie, Ontario ,99.34
2020-10-12,London, Ontario ,113.37
2020-10-12,Milton, Ontario ,146.25
2020-10-12,Toronto, Ontario ,148.77
2020-10-12,Kingston, Ontario ,131.49
2020-10-12,Kanata, Ontario ,132.41
2020-10-12,Guelph, Ontario ,134.56
2020-10-12,Oshawa, Ontario ,137.33
2020-10-12,Windsor, Ontario ,141.32
2020-10-12,Winnipeg, Manitoba ,146.6
2020-10-12,Saskatoon, Saskatchewan ,110.23
2020-10-12,Regina, Saskatchewan ,183.57
2020-10-12,Calgary, Alberta ,140.18
2020-10-12,Edmonton, Alberta ,135.61
2020-10-12,Abbotsford, British Columbia ,162.86
2020-10-12,Kelowna, British Columbia ,141.38
2020-10-12,White Rock, British Columbia ,155.38
2020-10-12,Vancouver, British Columbia ,126.71
2020-10-12,Victoria, British Columbia ,139.7
2020-10-19,St. John's, Newfoundland ,221.57
2020-10-19,Halifax, Nova Scotia ,132.26
