Name,Province,City,Postal Code,latitude,longitude
École nationale d'administration publique,QC,Québec,G1K 9E5,46.814,-71.2194
Institut national de la recherche scientifique,QC,Québec,G1K 9A9,46.814,-71.2194
École de technologie supérieure,QC,Montréal,H3C 1K3,45.498,-73.5472
Télé-université,QC,Québec,G1K 9H6,46.814,-71.2194
Université du Québec (siège social),QC,Québec,G1K 9H7,46.814,-71.2194
Université McGill,QC,Montréal,H3A 2T5,45.504,-73.5747
Institut de tourisme et d'hôtellerie du Québec,QC,Montréal,H2X 3P1,45.5115,-73.5683
Université Concordia,QC,Montréal,H3G 1M8,45.4987,-73.5793
Université Bishop's,QC,Sherbrooke,J1M 1Z7,45.3656,-71.842
Institut de formation théologique de Montréal,QC,Montréal,H3H 1G6,45.5009,-73.5877
Conservatoire d'art dramatique de Québec,QC,Québec,G1R 4A6,46.8074,-71.2181
Conservatoire d'art dramatique de Montréal,QC,Montréal,H2T 2C8,45.5247,-73.5953
Collège militaire royal de Saint-Jean,QC,Saint-Jean-sur-Richelieu,J3B 8R8,45.2832,-73.2792
Université Laval,QC,Québec,G1V 0A6,46.7823,-71.2882
Université de Montréal,QC,Montréal,H3T 1J4,45.5018,-73.6191
École des Hautes Études Commerciales de Montréal,QC,Montréal,H3T 2A7,45.5018,-73.6191
École Polytechnique de Montréal,QC,Montréal,H3T 1J4,45.5018,-73.6191
Université de Montréal et ses écoles affiliées,QC,Montréal,H3C 3J7,45.498,-73.5472
Université de Sherbrooke,QC,Sherbrooke,J1K 2R1,45.3822,-71.9327
Université du Québec,QC,Québec,G1K 9H7,46.814,-71.2194
Université du Québec à Montréal,QC,Montréal,H3C 3P8,45.498,-73.5472
Université du Québec à Trois-Rivières,QC,Trois-Rivières,G9A 5H7,46.3695,-72.6789
Université du Québec à Chicoutimi,QC,Saguenay,G7H 2B1,48.4187,-71.0417
Université du Québec à Rimouski,QC,Rimouski,G5L 3A1,48.416,-68.5979
Université du Québec en Outaouais,QC,Gatineau,J9A 1L8,45.4279,-75.7711
Université du Québec en Abitibi-Témiscamingue,QC,Rouyn-Noranda,J9X 5E4,48.2855,-78.8234
Athabasca University,AB,Athabasca,T9S 3A3,54.7169,-113.2854
Concordia University,AB,Edmonton,T5B 4E4,53.7353,-113.3369
